student_id,student_email,student_account_status,student_role,course_id,course_code,course_status,program_name,enrollment_status,enrollment_type,course_fee,duration_value,duration_unit,instructor_count,days_since_enrollment,attendance_total_sessions,attendance_present_count,attendance_late_count,attendance_absent_count,attendance_excused_count,attendance_percentage,completed_class_sessions,scheduled_class_sessions,cancelled_class_sessions,online_session_count,physical_session_count,materials_total,pdf_material_count,video_material_count,external_url_material_count,exams_available,exams_attempted,exams_submitted,exams_graded,avg_exam_percentage,best_exam_percentage,lowest_exam_percentage,passed_exam_count,failed_exam_count,manual_pending_grade_count,flagged_answer_count,avg_question_score_percentage,payment_status,successful_payment_count,failed_payment_count,total_paid_amount,invoice_count,support_ticket_count,open_ticket_count,critical_ticket_count,academic_ticket_count,technical_ticket_count,finance_ticket_count,appointment_count,completed_appointment_count,cancelled_appointment_count,last_activity_days_ago,performance_category
415,student0415@student.hitech.lk,PENDING_VERIFICATION,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,REMOVED,OPEN,30000.0,12,WEEKS,2,30,5,1,0,3,1,35.0,13,2,0,5,10,13,4,6,3,5,1,1,1,25.33,25.33,25.33,0,1,0,2,24.01,SUCCESS,1,0,30000.0,1,1,0,1,1,0,0,1,1,0,79,Low
510,student0510@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,ACTIVE,OPEN,50000.0,4,MONTHS,1,92,10,4,3,3,0,55.0,26,8,2,32,2,9,3,4,2,4,4,3,3,89.2,98.87,83.18,3,0,0,1,89.25,PENDING,0,0,0.0,1,0,0,0,0,0,0,1,1,0,3,Good
429,student0429@student.hitech.lk,ACTIVE,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,REMOVED,OPEN,30000.0,12,WEEKS,2,78,9,3,0,6,0,33.33,13,2,0,5,10,13,4,6,3,5,2,2,2,21.08,22.9,19.26,0,2,0,1,15.55,SUCCESS,2,0,30000.0,1,1,0,0,1,0,0,1,0,1,88,Low
45,student0045@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,COMPLETED,OPEN,50000.0,4,MONTHS,2,176,28,21,2,5,0,78.57,28,5,0,29,4,7,3,2,2,3,3,3,3,82.14,88.08,73.12,3,0,0,0,76.45,SUCCESS,1,2,50000.0,1,0,0,0,0,0,0,0,0,0,2,Good
503,student0503@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,134,4,1,2,1,0,50.0,4,14,0,4,14,7,2,3,2,4,3,3,3,39.04,45.17,32.37,0,3,0,1,37.72,PENDING,0,0,0.0,1,1,0,1,0,0,1,0,0,0,30,Medium
472,student0472@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,ACTIVE,OPEN,35000.0,3,WEEKS,1,140,13,5,2,5,1,51.92,13,3,3,7,9,11,3,5,3,1,1,1,1,76.93,76.93,76.93,1,0,0,1,83.42,SUCCESS,1,0,35000.0,1,2,0,0,2,0,0,0,0,0,6,Average
688,student0688@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,REMOVED,OPEN,50000.0,4,MONTHS,2,94,17,9,0,8,0,52.94,28,5,0,29,4,7,3,2,2,3,2,2,2,31.34,33.77,28.92,0,2,0,5,30.86,SUCCESS,1,0,50000.0,2,2,2,0,2,0,0,0,0,0,51,Low
177,student0177@student.hitech.lk,ACTIVE,STUDENT,5,DS-ML-210,ACTIVE,Digital Marketing,COMPLETED,OPEN,45000.0,10,WEEKS,2,233,8,2,1,4,1,40.62,8,9,1,16,1,5,2,3,0,5,1,1,1,16.49,16.49,16.49,0,1,0,1,18.65,FAILED,0,2,0.0,0,1,1,0,1,0,0,0,0,0,47,Low
609,student0609@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,ACTIVE,OPEN,50000.0,4,MONTHS,1,36,6,4,2,0,0,83.33,26,8,2,32,2,9,3,4,2,4,4,4,4,96.78,100.0,91.98,4,0,0,1,97.07,SUCCESS,1,0,50000.0,1,0,0,0,0,0,0,0,0,0,5,Good
709,student0709@student.hitech.lk,PENDING_VERIFICATION,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,ACTIVE,OPEN,50000.0,4,MONTHS,1,52,10,9,0,1,0,90.0,26,8,2,32,2,9,3,4,2,4,3,3,3,66.17,67.36,64.73,3,0,0,2,67.63,SUCCESS,1,0,50000.0,1,1,0,0,1,0,0,2,1,1,24,Average
